population,Tube_ID,treatment,Leaf_Mass_g,Avg_Leaf_Mass_g,Leaf_Area_cm2,SLA
6,F1,drought,0.005,0.000833333,0.03,36.00
6,F2,drought,0.005,0.000833333,0.08,96.00
6,F3,drought,0.006,0.001033333,0.04,38.71
6,F4,drought,0.006,0.001033333,0.1,96.77
6,F5,drought,0.006,0.001033333,0.1,96.77
6,F6,drought,0.006,0.001033333,0.07,67.74
6,F7,drought,0.006,0.001033333,0.05,48.39
6,G1,drought,NA,NA,NA,NA
6,G2,drought,0.006,0.001033333,0.04,38.71
7,A1,drought,0.004,0.0007,0.15,214.29
7,A2,drought,0.004,0.0007,0.12,171.43
7,A3,drought,0.004,0.0007,0.11,157.14
7,A4,drought,0.004,0.0007,0.12,171.43
7,A5,drought,0.004,0.0007,0.09,128.57
7,A6,drought,0.003,0.00058,0.1,172.41
7,A7,drought,0.003,0.00058,0.1,172.41
7,B1,drought,0.003,0.00058,0.09,155.17
7,B2,drought,0.003,0.00058,0.1,172.41
7,B3,drought,0.003,0.00058,0.07,120.69
7,B4,drought,0.003,0.0006,0.06,100.00
7,B5,drought,0.003,0.0006,0.1,166.67
7,B6,drought,0.003,0.0006,0.14,233.33
7,B7,drought,0.003,0.0006,0.1,166.67
7,C1,drought,0.003,0.0006,0.1,166.67
7,C2,drought,0.002,0.00046,0.09,195.65
7,C3,drought,0.002,0.00046,0.04,86.96
7,C4,drought,0.002,0.00046,0.07,152.17
7,C5,drought,0.002,0.00046,0.09,195.65
7,C6,drought,0.002,0.00046,0.08,173.91
7,C7,drought,0.004,0.00074,0.13,175.68
7,D1,drought,0.004,0.00074,0.09,121.62
7,D2,drought,0.004,0.00074,0.09,121.62
7,D3,drought,0.004,0.00074,0.09,121.62
7,D4,drought,0.004,0.00074,0.11,148.65
7,D5,drought,0.003,0.00064,0.1,156.25
7,D6,drought,0.003,0.00064,0.08,125.00
7,D7,drought,0.003,0.00064,0.06,93.75
7,E1,drought,0.003,0.00064,0.1,156.25
7,E2,drought,0.003,0.00064,0.12,187.50
7,E3,drought,0.003,0.00068,0.07,102.94
7,E4,drought,0.003,0.00068,0.11,161.76
7,E5,drought,0.003,0.00068,0.11,161.76
7,E6,drought,0.003,0.00068,0.08,117.65
7,E7,drought,0.003,0.00068,0.08,117.65
7,F1,drought,0.003,0.0006,0.08,133.33
7,F2,drought,0.003,0.0006,0.14,233.33
7,F3,drought,0.003,0.0006,0.07,116.67
7,F4,drought,0.003,0.0006,0.09,150.00
7,F5,drought,0.003,0.0006,0.04,66.67
7,F6,drought,0.002,0.0006,0.12,200.00
7,F7,drought,0.002,0.0006,0.09,150.00
7,G1,drought,0.002,0.0006,0.11,183.33
7,G2,drought,0.002,0.0006,0.1,166.67
8,A1,drought,0.004,0.0007,0.06,85.71
8,A2,drought,0.004,0.0007,0.07,100.00
8,A3,drought,0.004,0.0007,0.1,142.86
8,A4,drought,0.004,0.0007,0.1,142.86
8,A5,drought,0.004,0.0007,0.07,100.00
8,A6,drought,0.004,0.00082,0.07,85.37
8,A7,drought,0.004,0.00082,0.08,97.56
8,B1,drought,0.004,0.00082,0.12,146.34
8,B2,drought,0.004,0.00082,0.08,97.56
8,B3,drought,0.004,0.00082,0.07,85.37
8,B4,drought,0.005,0.00098,0.09,91.84
8,B5,drought,0.005,0.00098,0.06,61.22
8,B6,drought,0.005,0.00098,0.09,91.84
8,B7,drought,NA,NA,NA,NA
8,C1,drought,0.005,0.00098,0.12,122.45
8,C2,drought,0.005,0.00098,0.11,112.24
8,C3,drought,0.005,0.001,0.11,110.00
8,C4,drought,0.005,0.001,0.08,80.00
8,C5,drought,0.005,0.001,0.09,90.00
8,C6,drought,NA,NA,NA,NA
8,C7,drought,0.005,0.001,0.09,90.00
8,D1,drought,0.005,0.001,0.11,110.00
8,D2,drought,0.005,0.00094,0.08,85.11
8,D3,drought,0.005,0.00094,0.1,106.38
8,D4,drought,0.005,0.00094,0.07,74.47
8,D5,drought,0.005,0.00094,0.1,106.38
8,D6,drought,0.005,0.00094,0.07,74.47
8,D7,drought,0.004,0.00086,0.09,104.65
8,E1,drought,0.004,0.00086,0.07,81.40
8,E2,drought,0.004,0.00086,0.08,93.02
8,E3,drought,0.004,0.00086,0.03,34.88
8,E4,drought,0.004,0.00086,0.09,104.65
8,E5,drought,0.005,0.0009,0.06,66.67
8,E6,drought,0.005,0.0009,0.07,77.78
8,E7,drought,0.005,0.0009,0.09,100.00
8,F1,drought,0.005,0.0009,0.1,111.11
8,F2,drought,0.005,0.0009,0.09,100.00
8,F3,drought,0.005,0.0009,0.07,77.78
8,F4,drought,0.006,0.00093,0.13,139.29
8,F5,drought,0.006,0.000933333,0.06,64.29
8,F6,drought,0.006,0.000933333,0.1,107.14
8,F7,drought,0.006,0.000933333,0.06,64.29
8,G1,drought,0.006,0.000933333,0.07,75.00
8,G2,drought,0.006,0.000933333,0.09,96.43
9,A1,drought,0.004,0.0008,0.08,100.00
9,A2,drought,0.004,0.0008,0.05,62.50
9,A3,drought,0.004,0.0008,0.08,100.00
9,A4,drought,NA,NA,NA,NA
9,A5,drought,NA,NA,NA,NA
9,A6,drought,NA,NA,NA,NA
9,A7,drought,0.004,0.0008,0.05,62.50
9,B1,drought,0.004,0.0008,0.09,112.50
9,B2,drought,0.005,0.00096,0.08,83.33
9,B3,drought,0.005,0.00096,0.07,72.92
9,B4,drought,0.005,0.00096,0.07,72.92
9,B5,drought,0.005,0.00096,0.11,114.58
9,B6,drought,0.005,0.00096,0.07,72.92
9,B7,drought,0.006,0.00114,0.11,96.49
9,C1,drought,0.006,0.00114,0.06,52.63
9,C2,drought,0.006,0.00114,0.09,78.95
9,C3,drought,0.006,0.00114,0.09,78.95
9,C4,drought,0.006,0.00114,0.09,78.95
9,C5,drought,0.004,0.00086,0.07,81.40
9,C6,drought,NA,NA,NA,NA
9,C7,drought,0.004,0.00086,0.11,127.91
9,D1,drought,0.004,0.00086,0.08,93.02
9,D2,drought,NA,NA,NA,NA
9,D3,drought,0.004,0.00086,0.07,81.40
9,D4,drought,0.004,0.00086,0.07,81.40
9,D5,drought,NA,NA,NA,NA
9,D6,drought,0.005,0.00092,0.08,86.96
9,D7,drought,0.005,0.00092,0.06,65.22
9,E1,drought,0.005,0.00092,0.08,86.96
9,E2,drought,0.005,0.00092,0.09,97.83
9,E3,drought,0.005,0.00092,0.07,76.09
9,E4,drought,0.005,0.00106,0.07,66.04
9,E5,drought,0.005,0.00106,0.08,75.47
