Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmean (degrees C)
2,-113.8104,37.661,1691,1999-02,25.32,2
2,-113.8104,37.661,1691,1999-03,6.67,5.8
2,-113.8104,37.661,1691,1999-04,43.02,5.4
2,-113.8104,37.661,1691,1999-05,10.38,11.7
2,-113.8104,37.661,1691,1999-06,38.12,17.9
2,-113.8104,37.661,1691,1999-07,48.83,21.9
2,-113.8104,37.661,1691,1999-08,37.7,20.6
2,-113.8104,37.661,1691,1999-09,12.51,16.5
2,-113.8104,37.661,1691,1999-10,2.47,11.7
2,-113.8104,37.661,1691,1999-11,6.16,6.9
2,-113.8104,37.661,1691,1999-12,1,-0.4
2,-113.8104,37.661,1691,2000-01,33.31,1.1
2,-113.8104,37.661,1691,2000-02,82.67,3
2,-113.8104,37.661,1691,2000-03,34.83,4.9
2,-113.8104,37.661,1691,2000-04,17.05,10.9
2,-113.8104,37.661,1691,2000-05,6.06,15.5
2,-113.8104,37.661,1691,2000-06,10.25,19.6
2,-113.8104,37.661,1691,2000-07,0.04,22.6
2,-113.8104,37.661,1691,2000-08,76.73,22.1
2,-113.8104,37.661,1691,2000-09,8.72,17.4
2,-113.8104,37.661,1691,2000-10,95.64,10.6
2,-113.8104,37.661,1691,2000-11,16.74,0
2,-113.8104,37.661,1691,2000-12,3.74,1.5
2,-113.8104,37.661,1691,2001-01,38.86,-1.3
2,-113.8104,37.661,1691,2001-02,41.4,0.2
2,-113.8104,37.661,1691,2001-03,42.04,5.5
2,-113.8104,37.661,1691,2001-04,38.78,7.8
2,-113.8104,37.661,1691,2001-05,3.99,15.1
2,-113.8104,37.661,1691,2001-06,3.37,19
2,-113.8104,37.661,1691,2001-07,16.68,21.9
2,-113.8104,37.661,1691,2001-08,42.9,22.1
2,-113.8104,37.661,1691,2001-09,0,18.2
2,-113.8104,37.661,1691,2001-10,10.59,12.4
2,-113.8104,37.661,1691,2001-11,26.62,5.2
2,-113.8104,37.661,1691,2001-12,22.06,-2.9
2,-113.8104,37.661,1691,2002-01,3.41,-0.9
2,-113.8104,37.661,1691,2002-02,2.44,0.5
2,-113.8104,37.661,1691,2002-03,11.58,2.8
2,-113.8104,37.661,1691,2002-04,6.21,10.6
2,-113.8104,37.661,1691,2002-05,0,13.3
2,-113.8104,37.661,1691,2002-06,0.98,20.8
2,-113.8104,37.661,1691,2002-07,15.24,24.9
2,-113.8104,37.661,1691,2002-08,1.69,22.4
2,-113.8104,37.661,1691,2002-09,39.35,17.7
2,-113.8104,37.661,1691,2002-10,42.95,9.5
2,-113.8104,37.661,1691,2002-11,16.12,3.3
2,-113.8104,37.661,1691,2002-12,17.32,0.1
2,-113.8104,37.661,1691,2003-01,3.77,3.8
2,-113.8104,37.661,1691,2003-02,65.24,1.1
2,-113.8104,37.661,1691,2003-03,37.48,4.7
2,-113.8104,37.661,1691,2003-04,27.8,7.9
2,-113.8104,37.661,1691,2003-05,9.38,13.8
2,-113.8104,37.661,1691,2003-06,0.01,19.7
2,-113.8104,37.661,1691,2003-07,9.33,25.2
2,-113.8104,37.661,1691,2003-08,35.81,22.7
2,-113.8104,37.661,1691,2003-09,14.68,18.3
2,-113.8104,37.661,1691,2003-10,1.46,14
2,-113.8104,37.661,1691,2003-11,26.49,2.6
2,-113.8104,37.661,1691,2003-12,48.12,0.8
2,-113.8104,37.661,1691,2004-01,11.34,-2.5
2,-113.8104,37.661,1691,2004-02,60.67,-1.3
2,-113.8104,37.661,1691,2004-03,4.34,8.1
2,-113.8104,37.661,1691,2004-04,30.39,9.5
2,-113.8104,37.661,1691,2004-05,12.73,13.8
2,-113.8104,37.661,1691,2004-06,4.31,19.8
2,-113.8104,37.661,1691,2004-07,33.21,22.8
2,-113.8104,37.661,1691,2004-08,18.47,21.3
2,-113.8104,37.661,1691,2004-09,17.35,16.7
2,-113.8104,37.661,1691,2004-10,159.18,10.3
2,-113.8104,37.661,1691,2004-11,52.69,2.7
2,-113.8104,37.661,1691,2004-12,65.36,0.6
2,-113.8104,37.661,1691,2005-01,121.85,2.2
2,-113.8104,37.661,1691,2005-02,82.89,2.1
2,-113.8104,37.661,1691,2005-03,60.06,4.7
2,-113.8104,37.661,1691,2005-04,52.91,7.2
2,-113.8104,37.661,1691,2005-05,21.16,13.4
2,-113.8104,37.661,1691,2005-06,44.72,16.9
2,-113.8104,37.661,1691,2005-07,19.58,23.8
2,-113.8104,37.661,1691,2005-08,64.02,21
2,-113.8104,37.661,1691,2005-09,9.09,16.2
2,-113.8104,37.661,1691,2005-10,47.34,11
2,-113.8104,37.661,1691,2005-11,8.39,5.4
2,-113.8104,37.661,1691,2005-12,13.26,0.4
,,,,,,
3,-110.7117,39.1918,2089,1991-01,13.24,-4.9
3,-110.7117,39.1918,2089,1991-02,7.11,1.2
3,-110.7117,39.1918,2089,1991-03,50.36,0.3
3,-110.7117,39.1918,2089,1991-04,18.46,4.8
3,-110.7117,39.1918,2089,1991-05,21,10.4
3,-110.7117,39.1918,2089,1991-06,33.15,16.6
3,-110.7117,39.1918,2089,1991-07,16.95,21.3
3,-110.7117,39.1918,2089,1991-08,28.24,20.5
3,-110.7117,39.1918,2089,1991-09,58.03,16.1
3,-110.7117,39.1918,2089,1991-10,24.73,10.2
3,-110.7117,39.1918,2089,1991-11,19.93,1
3,-110.7117,39.1918,2089,1991-12,9.15,-2.8
3,-110.7117,39.1918,2089,1992-01,16.67,-3.7
3,-110.7117,39.1918,2089,1992-02,41.57,0.5
3,-110.7117,39.1918,2089,1992-03,36.68,4.4
3,-110.7117,39.1918,2089,1992-04,8.82,10.7
3,-110.7117,39.1918,2089,1992-05,69.08,13.4
3,-110.7117,39.1918,2089,1992-06,14.03,17.1
3,-110.7117,39.1918,2089,1992-07,29,19.6
3,-110.7117,39.1918,2089,1992-08,16.66,21.1
3,-110.7117,39.1918,2089,1992-09,31.19,15.7
3,-110.7117,39.1918,2089,1992-10,35.44,11.7
3,-110.7117,39.1918,2089,1992-11,22.63,-0.7
3,-110.7117,39.1918,2089,1992-12,29.37,-5.5
3,-110.7117,39.1918,2089,1993-01,56.5,-3.5
3,-110.7117,39.1918,2089,1993-02,61.33,-2.7
3,-110.7117,39.1918,2089,1993-03,45.23,4.2
3,-110.7117,39.1918,2089,1993-04,18.58,6.1
3,-110.7117,39.1918,2089,1993-05,36.02,12.7
3,-110.7117,39.1918,2089,1993-06,16.78,15.9
3,-110.7117,39.1918,2089,1993-07,4.19,19
3,-110.7117,39.1918,2089,1993-08,23.92,19.3
3,-110.7117,39.1918,2089,1993-09,7.22,15.3
3,-110.7117,39.1918,2089,1993-10,60.8,8.2
3,-110.7117,39.1918,2089,1993-11,24.28,-1.1
3,-110.7117,39.1918,2089,1993-12,8.31,-3.6
3,-110.7117,39.1918,2089,1994-01,6.52,-1.4
3,-110.7117,39.1918,2089,1994-02,34.21,-3.2
3,-110.7117,39.1918,2089,1994-03,7.03,4.8
3,-110.7117,39.1918,2089,1994-04,49.39,7.5
3,-110.7117,39.1918,2089,1994-05,9.28,13.4
3,-110.7117,39.1918,2089,1994-06,6.72,20.3
3,-110.7117,39.1918,2089,1994-07,3.74,22.8
3,-110.7117,39.1918,2089,1994-08,28.03,22.2
3,-110.7117,39.1918,2089,1994-09,44.18,16.7
3,-110.7117,39.1918,2089,1994-10,60.67,7.9
3,-110.7117,39.1918,2089,1994-11,30,-1.3
3,-110.7117,39.1918,2089,1994-12,18.13,-1.8
3,-110.7117,39.1918,2089,1995-01,33.27,-3.4
3,-110.7117,39.1918,2089,1995-02,12.56,3.4
3,-110.7117,39.1918,2089,1995-03,44.36,2.9
3,-110.7117,39.1918,2089,1995-04,48.51,5.7
3,-110.7117,39.1918,2089,1995-05,79.16,8.7
3,-110.7117,39.1918,2089,1995-06,29.13,14.6
3,-110.7117,39.1918,2089,1995-07,26.9,20.1
3,-110.7117,39.1918,2089,1995-08,42.64,21.3
3,-110.7117,39.1918,2089,1995-09,27.34,16.6
3,-110.7117,39.1918,2089,1995-10,5.61,8.6
3,-110.7117,39.1918,2089,1995-11,12.06,4.5
3,-110.7117,39.1918,2089,1995-12,16.96,-0.4
3,-110.7117,39.1918,2089,1996-01,35.78,-2.9
3,-110.7117,39.1918,2089,1996-02,29.09,0.2
3,-110.7117,39.1918,2089,1996-03,37.56,2.8
3,-110.7117,39.1918,2089,1996-04,9.86,6.8
3,-110.7117,39.1918,2089,1996-05,33.93,13.2
3,-110.7117,39.1918,2089,1996-06,11.87,19.2
3,-110.7117,39.1918,2089,1996-07,10.86,22.8
3,-110.7117,39.1918,2089,1996-08,4.47,21.8
3,-110.7117,39.1918,2089,1996-09,57.16,14.2
3,-110.7117,39.1918,2089,1996-10,28.31,8.4
3,-110.7117,39.1918,2089,1996-11,41.51,2
3,-110.7117,39.1918,2089,1996-12,28.83,-3.3
3,-110.7117,39.1918,2089,1997-01,56.02,-3
3,-110.7117,39.1918,2089,1997-02,13.6,-2.8
3,-110.7117,39.1918,2089,1997-03,4.11,4
3,-110.7117,39.1918,2089,1997-04,41.06,4.9
3,-110.7117,39.1918,2089,1997-05,35.36,13.2
3,-110.7117,39.1918,2089,1997-06,32.34,18.3
3,-110.7117,39.1918,2089,1997-07,30.08,19.9
3,-110.7117,39.1918,2089,1997-08,59.12,19.8
3,-110.7117,39.1918,2089,1997-09,96.31,15.1
3,-110.7117,39.1918,2089,1997-10,34.58,8.7
3,-110.7117,39.1918,2089,1997-11,18.36,1.8
3,-110.7117,39.1918,2089,1997-12,11.01,-3.3
3,-110.7117,39.1918,2089,1998-01,24.07,-1.3
3,-110.7117,39.1918,2089,1998-02,63.59,-1.8
3,-110.7117,39.1918,2089,1998-03,19.47,2.2
3,-110.7117,39.1918,2089,1998-04,20.59,5.2
3,-110.7117,39.1918,2089,1998-05,21.72,11.6
3,-110.7117,39.1918,2089,1998-06,34.52,14.8
3,-110.7117,39.1918,2089,1998-07,35.26,22.8
3,-110.7117,39.1918,2089,1998-08,23.37,21.3
3,-110.7117,39.1918,2089,1998-09,40.97,16.9
3,-110.7117,39.1918,2089,1998-10,55.01,8.6
3,-110.7117,39.1918,2089,1998-11,23.46,2.4
3,-110.7117,39.1918,2089,1998-12,4,-2.6
3,-110.7117,39.1918,2089,1999-01,23.7,-0.5
3,-110.7117,39.1918,2089,1999-02,17.12,-0.2
3,-110.7117,39.1918,2089,1999-03,4.32,5
3,-110.7117,39.1918,2089,1999-04,62.23,4.3
3,-110.7117,39.1918,2089,1999-05,23.17,10.4
3,-110.7117,39.1918,2089,1999-06,22.13,16.8
3,-110.7117,39.1918,2089,1999-07,50.69,21.5
3,-110.7117,39.1918,2089,1999-08,58.57,19.3
3,-110.7117,39.1918,2089,1999-09,24.58,14.9
3,-110.7117,39.1918,2089,1999-10,2.07,11.3
3,-110.7117,39.1918,2089,1999-11,1.71,6.4
3,-110.7117,39.1918,2089,1999-12,12.96,-1.7
3,-110.7117,39.1918,2089,2000-01,31.08,-0.8
3,-110.7117,39.1918,2089,2000-02,53.77,0.8
3,-110.7117,39.1918,2089,2000-03,26.22,2.7
3,-110.7117,39.1918,2089,2000-04,5.33,9.7
3,-110.7117,39.1918,2089,2000-05,29.18,14.3
3,-110.7117,39.1918,2089,2000-06,22.06,18.7
3,-110.7117,39.1918,2089,2000-07,11.37,22.8
3,-110.7117,39.1918,2089,2000-08,26.51,22.1
3,-110.7117,39.1918,2089,2000-09,28.68,16.1
3,-110.7117,39.1918,2089,2000-10,87.46,9.3
3,-110.7117,39.1918,2089,2000-11,11.35,-1.9
3,-110.7117,39.1918,2089,2000-12,14.23,-1.1
3,-110.7117,39.1918,2089,2001-01,29.08,-2.7
3,-110.7117,39.1918,2089,2001-02,35.41,-1.4
3,-110.7117,39.1918,2089,2001-03,26.6,3.9
3,-110.7117,39.1918,2089,2001-04,28.5,7.6
3,-110.7117,39.1918,2089,2001-05,21.78,14.3
3,-110.7117,39.1918,2089,2001-06,9.65,18.8
3,-110.7117,39.1918,2089,2001-07,22.39,22
